mi_quality,transcript_id,video_title,video_url,topic,utterance_id,interlocutor,timestamp,utterance_text,annotator_id,therapist_input_exists,therapist_input_subtype,reflection_exists,reflection_subtype,question_exists,question_subtype,main_therapist_behaviour,client_talk_type,advice_exists,advice_subtype
high,6,"Agenda setting conversation with ""Sal"" 2",https://www.youtube.com/watch?v=klnHJ4coG8o,asthma management,10,therapist,0:01:01,Mm-hmm. Almost—,7,FALSE,,TRUE,simple,FALSE,,reflection,,FALSE,
high,6,"Agenda setting conversation with ""Sal"" 2",https://www.youtube.com/watch?v=klnHJ4coG8o,asthma management,11,client,0:01:02,"Yeah, it's a lot.",7,,,,,,,,neutral,,
high,6,"Agenda setting conversation with ""Sal"" 2",https://www.youtube.com/watch?v=klnHJ4coG8o,asthma management,12,therapist,0:01:03,Almost overwhelming it sounds like.,7,FALSE,,TRUE,complex,FALSE,,reflection,,FALSE,
high,6,"Agenda setting conversation with ""Sal"" 2",https://www.youtube.com/watch?v=klnHJ4coG8o,asthma management,13,client,0:01:05,"Yeah, yeah, it is overwhelming. It is.",7,,,,,,,,neutral,,
high,6,"Agenda setting conversation with ""Sal"" 2",https://www.youtube.com/watch?v=klnHJ4coG8o,asthma management,14,therapist,0:01:08,"Well, we have about, I guess, 15 or 20 minutes together and I wonder, would it be okay, if we took a couple of minutes and just kind of looked at all of the different things that are going on for you and maybe you can let me know, what would be the most helpful to spend-spend some time on?",7,FALSE,,FALSE,,TRUE,closed,question,,FALSE,
high,6,"Agenda setting conversation with ""Sal"" 2",https://www.youtube.com/watch?v=klnHJ4coG8o,asthma management,15,client,0:01:25,"Yeah, it just feels like everything's all over the place but I guess we got to start somewhere.",7,,,,,,,,neutral,,
high,6,"Agenda setting conversation with ""Sal"" 2",https://www.youtube.com/watch?v=klnHJ4coG8o,asthma management,16,therapist,0:01:31,"Okay. Well, one of the things that-that we use are these-- it's kind of like a worksheet and it's an agenda-setting worksheet basically.",7,TRUE,information,FALSE,,FALSE,,therapist_input,,FALSE,
high,6,"Agenda setting conversation with ""Sal"" 2",https://www.youtube.com/watch?v=klnHJ4coG8o,asthma management,17,client,0:01:40,Mm-hmm.,7,,,,,,,,neutral,,
high,6,"Agenda setting conversation with ""Sal"" 2",https://www.youtube.com/watch?v=klnHJ4coG8o,asthma management,18,therapist,0:01:41,"So if you were to-to list all of the different things that people around you are saying that you need to work on or you need to change, what would some of those things be? And, Sal, just because we write them down here, it doesn't mean that you have to change them.",7,FALSE,,FALSE,,TRUE,open,question,,FALSE,
high,6,"Agenda setting conversation with ""Sal"" 2",https://www.youtube.com/watch?v=klnHJ4coG8o,asthma management,19,client,0:01:55,Okay.,7,,,,,,,,neutral,,
high,6,"Agenda setting conversation with ""Sal"" 2",https://www.youtube.com/watch?v=klnHJ4coG8o,asthma management,20,therapist,0:01:56,"It really-- You're in the driver's seat, so it's just to kind of put all the cards on the table, so to speak.",7,FALSE,,FALSE,,FALSE,,other,,FALSE,
high,6,"Agenda setting conversation with ""Sal"" 2",https://www.youtube.com/watch?v=klnHJ4coG8o,asthma management,21,client,0:02:00,"Okay. Um, okay, that sounds good. As long as I'm not changing anything and we're just kind of putting, um, I guess, pen to paper or something.",7,,,,,,,,neutral,,
high,6,"Agenda setting conversation with ""Sal"" 2",https://www.youtube.com/watch?v=klnHJ4coG8o,asthma management,22,therapist,0:02:09,Yep.,7,FALSE,,FALSE,,FALSE,,other,,FALSE,
high,6,"Agenda setting conversation with ""Sal"" 2",https://www.youtube.com/watch?v=klnHJ4coG8o,asthma management,23,client,0:02:09,"Um, okay, so my asthma.",7,,,,,,,,neutral,,
high,6,"Agenda setting conversation with ""Sal"" 2",https://www.youtube.com/watch?v=klnHJ4coG8o,asthma management,24,therapist,0:02:12,"Okay, so asthma is one.",7,FALSE,,TRUE,simple,FALSE,,reflection,,FALSE,
high,6,"Agenda setting conversation with ""Sal"" 2",https://www.youtube.com/watch?v=klnHJ4coG8o,asthma management,25,client,0:02:14,Yeah.,7,,,,,,,,neutral,,
high,6,"Agenda setting conversation with ""Sal"" 2",https://www.youtube.com/watch?v=klnHJ4coG8o,asthma management,26,therapist,0:02:14,What else?,7,FALSE,,FALSE,,TRUE,open,question,,FALSE,
high,6,"Agenda setting conversation with ""Sal"" 2",https://www.youtube.com/watch?v=klnHJ4coG8o,asthma management,27,client,0:02:15,"Um, the fact that they want me to get rid of Oscar, that's-that's my dog.",7,,,,,,,,sustain,,
high,6,"Agenda setting conversation with ""Sal"" 2",https://www.youtube.com/watch?v=klnHJ4coG8o,asthma management,28,therapist,0:02:19,"So your dog, and-and the doctor's saying the dog's—",7,FALSE,,TRUE,simple,FALSE,,reflection,,FALSE,
high,6,"Agenda setting conversation with ""Sal"" 2",https://www.youtube.com/watch?v=klnHJ4coG8o,asthma management,29,client,0:02:22,"Well, he's-- Yeah, he's saying it's a main-- It's a main contributor to my asthma problems.",7,,,,,,,,neutral,,
high,6,"Agenda setting conversation with ""Sal"" 2",https://www.youtube.com/watch?v=klnHJ4coG8o,asthma management,30,therapist,0:02:27,Okay.,7,FALSE,,FALSE,,FALSE,,other,,FALSE,
high,6,"Agenda setting conversation with ""Sal"" 2",https://www.youtube.com/watch?v=klnHJ4coG8o,asthma management,31,client,0:02:28,"Which I don't- I don't- I don't- I don't buy it and I can't just get rid of him like that, but it's something that's there.",7,,,,,,,,sustain,,
high,6,"Agenda setting conversation with ""Sal"" 2",https://www.youtube.com/watch?v=klnHJ4coG8o,asthma management,32,therapist,0:02:34,That's pretty shocking to be told that you have to get rid of your dog.,7,FALSE,,TRUE,complex,FALSE,,reflection,,FALSE,
high,6,"Agenda setting conversation with ""Sal"" 2",https://www.youtube.com/watch?v=klnHJ4coG8o,asthma management,33,client,0:02:38,Yeah. The dog has been there before my wife. I know I've had him longer.,7,,,,,,,,sustain,,
high,6,"Agenda setting conversation with ""Sal"" 2",https://www.youtube.com/watch?v=klnHJ4coG8o,asthma management,34,therapist,0:02:42,Hmm. So that's a huge stress right now?,7,FALSE,,TRUE,complex,TRUE,closed,reflection,,FALSE,
high,6,"Agenda setting conversation with ""Sal"" 2",https://www.youtube.com/watch?v=klnHJ4coG8o,asthma management,35,client,0:02:46,"Yeah. Yeah, it's- it's a big stress, it's like my best friend, so that's one of the important things. Also, I guess, cutting down these last cigarettes I've been working on.",7,,,,,,,,neutral,,
high,6,"Agenda setting conversation with ""Sal"" 2",https://www.youtube.com/watch?v=klnHJ4coG8o,asthma management,36,therapist,0:02:57,"Okay, so smoking and-and I'm working towards quitting completely sounds like that's a goal for you?",7,TRUE,negotiation,TRUE,complex,TRUE,closed,therapist_input,,FALSE,
high,6,"Agenda setting conversation with ""Sal"" 2",https://www.youtube.com/watch?v=klnHJ4coG8o,asthma management,37,client,0:03:04,"Um, finances is a problem right now too.",7,,,,,,,,neutral,,
high,6,"Agenda setting conversation with ""Sal"" 2",https://www.youtube.com/watch?v=klnHJ4coG8o,asthma management,38,therapist,0:03:07,"Okay, so money.",7,FALSE,,TRUE,simple,FALSE,,reflection,,FALSE,
high,6,"Agenda setting conversation with ""Sal"" 2",https://www.youtube.com/watch?v=klnHJ4coG8o,asthma management,39,client,0:03:09,"Time, I got to come to all these appointments and I'm taking time off work, which obviously is the money factor, right?",7,,,,,,,,neutral,,
high,6,"Agenda setting conversation with ""Sal"" 2",https://www.youtube.com/watch?v=klnHJ4coG8o,asthma management,40,therapist,0:03:16,"Right. Right, right. So the appointments and time.",7,FALSE,,TRUE,simple,FALSE,,reflection,,FALSE,
high,6,"Agenda setting conversation with ""Sal"" 2",https://www.youtube.com/watch?v=klnHJ4coG8o,asthma management,41,client,0:03:20,Mm-hmm.,7,,,,,,,,neutral,,
high,6,"Agenda setting conversation with ""Sal"" 2",https://www.youtube.com/watch?v=klnHJ4coG8o,asthma management,42,therapist,0:03:20,"Um, and some of these things are kind of related to each other I think we're already seeing.",7,FALSE,,TRUE,complex,FALSE,,reflection,,FALSE,
high,6,"Agenda setting conversation with ""Sal"" 2",https://www.youtube.com/watch?v=klnHJ4coG8o,asthma management,43,client,0:03:25,"Yeah, yeah. Yeah, there's something going on. And, um, also my drinking, I got to cut down my drinking too.",7,,,,,,,,neutral,,
high,6,"Agenda setting conversation with ""Sal"" 2",https://www.youtube.com/watch?v=klnHJ4coG8o,asthma management,44,therapist,0:03:33,"Okay, wow. So there's a lot happening right now, Sal. Anything else that that's concerning you?",7,FALSE,,FALSE,,TRUE,open,question,,FALSE,
high,6,"Agenda setting conversation with ""Sal"" 2",https://www.youtube.com/watch?v=klnHJ4coG8o,asthma management,45,client,0:03:38,"No. It's just overwhelming when you see them everything they're, you know?",7,,,,,,,,sustain,,
high,6,"Agenda setting conversation with ""Sal"" 2",https://www.youtube.com/watch?v=klnHJ4coG8o,asthma management,46,therapist,0:03:41,"Right. Well, so where would you-- I mean, if you-you had to pick somewhere, one or two kind of high priorities or-or things to talk about in our time this morning, where would you wanna start?",7,TRUE,negotiation,FALSE,,TRUE,open,question,,FALSE,
high,6,"Agenda setting conversation with ""Sal"" 2",https://www.youtube.com/watch?v=klnHJ4coG8o,asthma management,47,client,0:03:55,"I think- I think the thoughts about the dog has been definitely bothering me, that's been one.",7,,,,,,,,neutral,,
high,6,"Agenda setting conversation with ""Sal"" 2",https://www.youtube.com/watch?v=klnHJ4coG8o,asthma management,48,therapist,0:04:02,Okay.,7,FALSE,,FALSE,,FALSE,,other,,FALSE,
high,6,"Agenda setting conversation with ""Sal"" 2",https://www.youtube.com/watch?v=klnHJ4coG8o,asthma management,49,client,0:04:02,"And, um, my-my asthma is out of control too. So maybe those two.",7,,,,,,,,change,,
high,6,"Agenda setting conversation with ""Sal"" 2",https://www.youtube.com/watch?v=klnHJ4coG8o,asthma management,50,therapist,0:04:07,"Okay, and those are ones that are pretty related to each other-",7,FALSE,,TRUE,simple,FALSE,,reflection,,FALSE,
high,6,"Agenda setting conversation with ""Sal"" 2",https://www.youtube.com/watch?v=klnHJ4coG8o,asthma management,51,client,0:04:11,Mm-hmm.,7,,,,,,,,neutral,,
high,6,"Agenda setting conversation with ""Sal"" 2",https://www.youtube.com/watch?v=klnHJ4coG8o,asthma management,52,therapist,0:04:11,- sounds like. Okay.,7,FALSE,,FALSE,,FALSE,,other,,FALSE,
high,8,Dr. Marilyn Herie -- MI Skills -- Tobacco Cessation -- Angry Client,https://www.youtube.com/watch?v=hB-zchaxlNc,smoking cessation,0,therapist,0:00:38,"So, what brings you here, Bob? What's, what can I do to help?",9,FALSE,,FALSE,,TRUE,open,question,,FALSE,
high,8,Dr. Marilyn Herie -- MI Skills -- Tobacco Cessation -- Angry Client,https://www.youtube.com/watch?v=hB-zchaxlNc,smoking cessation,1,client,0:00:42,"Yeah. Yeah, well, the only reason I'm here is 'cause my wife thinks I've got a problem with smoking. I've been smoking all my life and, uh, six months ago, uh, she thought, she got into this health kick, right? And now everyone who smokes is evil. And, uh, so that's why I'm here just to please her, get her off my back and—",9,,,,,,,,sustain,,
high,8,Dr. Marilyn Herie -- MI Skills -- Tobacco Cessation -- Angry Client,https://www.youtube.com/watch?v=hB-zchaxlNc,smoking cessation,2,therapist,0:01:07,"So, you're not too happy to be here. This is the last thing that you want to be doing this afternoon.",9,FALSE,,TRUE,complex,FALSE,,reflection,,FALSE,
high,8,Dr. Marilyn Herie -- MI Skills -- Tobacco Cessation -- Angry Client,https://www.youtube.com/watch?v=hB-zchaxlNc,smoking cessation,3,client,0:01:12,"Yeah. That's an understatement. I mean, I'm supposed to be at work right now, too, right? So-",9,,,,,,,,neutral,,
high,8,Dr. Marilyn Herie -- MI Skills -- Tobacco Cessation -- Angry Client,https://www.youtube.com/watch?v=hB-zchaxlNc,smoking cessation,4,therapist,0:01:17,"You've taken time off you, it's costing you time and money being here.",9,FALSE,,TRUE,complex,FALSE,,reflection,,FALSE,
high,8,Dr. Marilyn Herie -- MI Skills -- Tobacco Cessation -- Angry Client,https://www.youtube.com/watch?v=hB-zchaxlNc,smoking cessation,5,client,0:01:20,"Yeah, yeah. I'm only here because my wife forced me to come, you know. Like this has come to a head six months of just nagging me, relentless every day, because she was able to quit smoking and now I have to quit.",9,,,,,,,,sustain,,
high,8,Dr. Marilyn Herie -- MI Skills -- Tobacco Cessation -- Angry Client,https://www.youtube.com/watch?v=hB-zchaxlNc,smoking cessation,6,therapist,0:01:36,"So, let me ask you this, Bob, what are some of your wife's concerns about your smoking?",9,FALSE,,FALSE,,TRUE,open,question,,FALSE,
high,8,Dr. Marilyn Herie -- MI Skills -- Tobacco Cessation -- Angry Client,https://www.youtube.com/watch?v=hB-zchaxlNc,smoking cessation,7,client,0:01:41,"Well, she's concerned about my health and she cuts out all these articles from the paper about second-hand smoke and—",9,,,,,,,,change,,
high,8,Dr. Marilyn Herie -- MI Skills -- Tobacco Cessation -- Angry Client,https://www.youtube.com/watch?v=hB-zchaxlNc,smoking cessation,8,therapist,0:01:49,"Wow, that she's been showing you and making you read.",9,FALSE,,TRUE,simple,FALSE,,reflection,,FALSE,
high,8,Dr. Marilyn Herie -- MI Skills -- Tobacco Cessation -- Angry Client,https://www.youtube.com/watch?v=hB-zchaxlNc,smoking cessation,9,client,0:01:52,"Yeah, I've got to read this. That's my reading assignment for breakfast and I want to go out and have-- We used to go out and have a cigarette together at the table. Now I have to go outside in this weather, you know, what's that about? And she used to smoke more than me and now she's like holier than now?",9,,,,,,,,neutral,,
high,8,Dr. Marilyn Herie -- MI Skills -- Tobacco Cessation -- Angry Client,https://www.youtube.com/watch?v=hB-zchaxlNc,smoking cessation,10,therapist,0:02:08,"So, you're pretty angry about it. It's pretty outraging that you're forced to change your whole life because of a decision she made six months ago.",9,FALSE,,TRUE,complex,FALSE,,reflection,,FALSE,
high,8,Dr. Marilyn Herie -- MI Skills -- Tobacco Cessation -- Angry Client,https://www.youtube.com/watch?v=hB-zchaxlNc,smoking cessation,11,client,0:02:14,"And she's got my kids on this against me, you know, my son and my daughter, they're, it's like, they're ganging up on me, you know what I mean?",9,,,,,,,,neutral,,
high,8,Dr. Marilyn Herie -- MI Skills -- Tobacco Cessation -- Angry Client,https://www.youtube.com/watch?v=hB-zchaxlNc,smoking cessation,12,therapist,0:02:20,"So, from your perspective, do you see any consequences to your smoking?",9,FALSE,,FALSE,,TRUE,closed,question,,FALSE,
high,8,Dr. Marilyn Herie -- MI Skills -- Tobacco Cessation -- Angry Client,https://www.youtube.com/watch?v=hB-zchaxlNc,smoking cessation,13,client,0:02:26,"Well, the big one of course is how it's affecting my wife and the family. Like my dad's 85, he still smokes. I mean, yeah, you know, sometimes I thought of quitting, but I mean, I don't know. I don't know if I can-- I don't know if I can quit.",9,,,,,,,,change,,
high,8,Dr. Marilyn Herie -- MI Skills -- Tobacco Cessation -- Angry Client,https://www.youtube.com/watch?v=hB-zchaxlNc,smoking cessation,14,therapist,0:02:43,"So, let me make sure I understand kind of the whole scenario 'cause there's a lot of pieces to it. Your wife is on your case and your kids are ganging up too. So, you're sort of isolated, you're put in a corner and you're being told this is something you have to do, you have no choice in the matter.",9,FALSE,,TRUE,complex,FALSE,,reflection,,FALSE,
high,8,Dr. Marilyn Herie -- MI Skills -- Tobacco Cessation -- Angry Client,https://www.youtube.com/watch?v=hB-zchaxlNc,smoking cessation,15,client,0:02:59,Yeah.,9,,,,,,,,neutral,,
high,8,Dr. Marilyn Herie -- MI Skills -- Tobacco Cessation -- Angry Client,https://www.youtube.com/watch?v=hB-zchaxlNc,smoking cessation,16,therapist,0:02:59,"You have a few concerns about your health, but that's not really the driving force. It sounds like it's most of all that it would be nice if things just went back to the way they were before she quit smoking and that all of this stuff wasn't something that you had to deal with anymore. Does that pretty much sum up--?",9,FALSE,,TRUE,complex,TRUE,closed,reflection,,FALSE,
high,8,Dr. Marilyn Herie -- MI Skills -- Tobacco Cessation -- Angry Client,https://www.youtube.com/watch?v=hB-zchaxlNc,smoking cessation,17,client,0:03:16,"Yeah. Yeah. I-I'm just, I don't want to lose her or my family over smoking.",9,,,,,,,,change,,
high,8,Dr. Marilyn Herie -- MI Skills -- Tobacco Cessation -- Angry Client,https://www.youtube.com/watch?v=hB-zchaxlNc,smoking cessation,18,therapist,0:03:22,I get the feeling that your relationship is really important to you. That you would do anything.,9,FALSE,,TRUE,complex,FALSE,,reflection,,FALSE,
high,8,Dr. Marilyn Herie -- MI Skills -- Tobacco Cessation -- Angry Client,https://www.youtube.com/watch?v=hB-zchaxlNc,smoking cessation,19,client,0:03:27,"Well, yeah, I mean, we've been married over 25 years, and uh, we've never had any major problems. Like this is-- this is the first problem. I don't even really see it as a problem cause we used to both smoke and I was trying to accommodate them by smoking outside, but it's feeling like we're going like this and I'm just concerned, like if this keeps going, like.",9,,,,,,,,change,,
high,8,Dr. Marilyn Herie -- MI Skills -- Tobacco Cessation -- Angry Client,https://www.youtube.com/watch?v=hB-zchaxlNc,smoking cessation,20,therapist,0:03:54,"So, it strikes me that the way that we're talking about it, it's like it's all or nothing. Either you keep smoking the way you are, things continue to go downhill and get worse, your wife gets more and more on your case, or you put your cigarettes down starting the moment you walk in the door tonight and never pick them up again. It's almost like one or the other. It strikes me that as well there might be some middle ground here that it took you a long time to learn how to be a smoker and maybe it's going to take some time to learn how to stop smoking.",9,TRUE,negotiation,TRUE,complex,FALSE,,reflection,,FALSE,
high,8,Dr. Marilyn Herie -- MI Skills -- Tobacco Cessation -- Angry Client,https://www.youtube.com/watch?v=hB-zchaxlNc,smoking cessation,21,client,0:04:26,"So, I can actually do it that way like gradual taber?",9,,,,,,,,neutral,,
high,8,Dr. Marilyn Herie -- MI Skills -- Tobacco Cessation -- Angry Client,https://www.youtube.com/watch?v=hB-zchaxlNc,smoking cessation,22,therapist,0:04:29,There are some medications and some different approaches that we can use that aren't so abrupt. Recognizing that it-it's going to take some time and practice to get to where you might want to be.,9,TRUE,advice,FALSE,,FALSE,,therapist_input,,TRUE,ADW
high,8,Dr. Marilyn Herie -- MI Skills -- Tobacco Cessation -- Angry Client,https://www.youtube.com/watch?v=hB-zchaxlNc,smoking cessation,23,client,0:04:45,"I wish my wife could have come today cause she's feels after like, just stop like right away. So do you think she could come with me at a future appointment or something and she could hear that message?",9,,,,,,,,neutral,,
high,8,Dr. Marilyn Herie -- MI Skills -- Tobacco Cessation -- Angry Client,https://www.youtube.com/watch?v=hB-zchaxlNc,smoking cessation,24,therapist,0:04:59,"If you wanted to bring your wife along, I'd be more than happy to talk with both of you.",9,FALSE,,FALSE,,FALSE,,other,,FALSE,
high,8,Dr. Marilyn Herie -- MI Skills -- Tobacco Cessation -- Angry Client,https://www.youtube.com/watch?v=hB-zchaxlNc,smoking cessation,25,client,0:05:03,"Okay. I'll have to talk to her as well because their schedule changes from week to week, she works shifts, so I'll call you back tomorrow and we'll set something up.",9,,,,,,,,neutral,,
high,8,Dr. Marilyn Herie -- MI Skills -- Tobacco Cessation -- Angry Client,https://www.youtube.com/watch?v=hB-zchaxlNc,smoking cessation,26,therapist,0:05:09,Okay. That sounds good.,9,FALSE,,FALSE,,FALSE,,other,,FALSE,
high,8,Dr. Marilyn Herie -- MI Skills -- Tobacco Cessation -- Angry Client,https://www.youtube.com/watch?v=hB-zchaxlNc,smoking cessation,27,client,0:05:10,All right.,9,,,,,,,,neutral,,
high,8,Dr. Marilyn Herie -- MI Skills -- Tobacco Cessation -- Angry Client,https://www.youtube.com/watch?v=hB-zchaxlNc,smoking cessation,28,therapist,0:05:11,Thanks for coming in.,9,FALSE,,FALSE,,FALSE,,other,,FALSE,
high,8,Dr. Marilyn Herie -- MI Skills -- Tobacco Cessation -- Angry Client,https://www.youtube.com/watch?v=hB-zchaxlNc,smoking cessation,29,client,0:05:12,Okay. Thanks.,9,,,,,,,,neutral,,
high,18,Motivational Techniques - Ken interviews Catherine - 1,https://www.youtube.com/watch?v=PM1q6uB0ysQ,reducing gambling,0,therapist,0:01:20,"So I get a sense it's a little anxious being here today and, uh, meeting someone like me, and, um, what we're gonna be doing today is-is inducting, but also I wanna talk about, um, yeah, the issues that-that have got you here and we need to do some sorting out around, um, yeah how serious you are to sort of sort those issues. So?",2,FALSE,,TRUE,complex,FALSE,,reflection,,FALSE,
high,18,Motivational Techniques - Ken interviews Catherine - 1,https://www.youtube.com/watch?v=PM1q6uB0ysQ,reducing gambling,1,client,0:01:38,I don't really know what issues I need to sort.,2,,,,,,,,neutral,,
high,18,Motivational Techniques - Ken interviews Catherine - 1,https://www.youtube.com/watch?v=PM1q6uB0ysQ,reducing gambling,2,therapist,0:01:40,Sorry?,2,FALSE,,FALSE,,FALSE,,other,,FALSE,
high,18,Motivational Techniques - Ken interviews Catherine - 1,https://www.youtube.com/watch?v=PM1q6uB0ysQ,reducing gambling,3,client,0:01:41,I don't really know what issues I need to-,2,,,,,,,,neutral,,
high,18,Motivational Techniques - Ken interviews Catherine - 1,https://www.youtube.com/watch?v=PM1q6uB0ysQ,reducing gambling,4,therapist,0:01:42,All right.,2,FALSE,,FALSE,,FALSE,,other,,FALSE,
high,18,Motivational Techniques - Ken interviews Catherine - 1,https://www.youtube.com/watch?v=PM1q6uB0ysQ,reducing gambling,5,client,0:01:42,-sort. It's just a bit of cash.,2,,,,,,,,neutral,,
high,18,Motivational Techniques - Ken interviews Catherine - 1,https://www.youtube.com/watch?v=PM1q6uB0ysQ,reducing gambling,6,therapist,0:01:44,Yeah.,2,FALSE,,FALSE,,FALSE,,other,,FALSE,
high,18,Motivational Techniques - Ken interviews Catherine - 1,https://www.youtube.com/watch?v=PM1q6uB0ysQ,reducing gambling,7,client,0:01:44,So—,2,,,,,,,,neutral,,
high,18,Motivational Techniques - Ken interviews Catherine - 1,https://www.youtube.com/watch?v=PM1q6uB0ysQ,reducing gambling,8,therapist,0:01:44,"So first, it might be trying to sort out what are the important issues to sort out.",2,TRUE,information,FALSE,,FALSE,,therapist_input,,FALSE,
high,18,Motivational Techniques - Ken interviews Catherine - 1,https://www.youtube.com/watch?v=PM1q6uB0ysQ,reducing gambling,9,client,0:01:49,Mm-hmm.,2,,,,,,,,neutral,,
high,18,Motivational Techniques - Ken interviews Catherine - 1,https://www.youtube.com/watch?v=PM1q6uB0ysQ,reducing gambling,10,therapist,0:01:49,"Yeah, that makes sense? Yeah? So how confident are you that-that, you know, you can sort out the issues related to, um, you know, uh, taking the money from your employer? And another thing, in your precinct's report, there were some issues around gambling, and some issues around alcohol use. So those seem to be important issues that are kind of getting out. So how confident are you that you can get those sorted in the nine months we've got?",2,FALSE,,FALSE,,TRUE,open,question,,FALSE,
high,18,Motivational Techniques - Ken interviews Catherine - 1,https://www.youtube.com/watch?v=PM1q6uB0ysQ,reducing gambling,11,client,0:02:17,"Um, I don't think there is much to sort. I have a few drinks like everybody else my age.",2,,,,,,,,neutral,,
high,18,Motivational Techniques - Ken interviews Catherine - 1,https://www.youtube.com/watch?v=PM1q6uB0ysQ,reducing gambling,12,therapist,0:02:24,Yeah.,2,FALSE,,FALSE,,FALSE,,other,,FALSE,
high,18,Motivational Techniques - Ken interviews Catherine - 1,https://www.youtube.com/watch?v=PM1q6uB0ysQ,reducing gambling,13,client,0:02:26,"Pokies are at the pubs for the thrills, it's no worries.",2,,,,,,,,sustain,,
high,18,Motivational Techniques - Ken interviews Catherine - 1,https://www.youtube.com/watch?v=PM1q6uB0ysQ,reducing gambling,14,therapist,0:02:29,"Yeah, yeah.",2,FALSE,,FALSE,,FALSE,,other,,FALSE,
high,18,Motivational Techniques - Ken interviews Catherine - 1,https://www.youtube.com/watch?v=PM1q6uB0ysQ,reducing gambling,15,client,0:02:29,It's not an issue.,2,,,,,,,,sustain,,
high,18,Motivational Techniques - Ken interviews Catherine - 1,https://www.youtube.com/watch?v=PM1q6uB0ysQ,reducing gambling,16,therapist,0:02:30,"Yeah. See one of the things I'll be really interested in-in talking with you about is, um, yeah, what's-what's the, um, what's the worst thing that has happened in terms of pokies, in terms of you know behavior around the pokies, what's the worst thing that's happened?",2,FALSE,,FALSE,,TRUE,open,question,,FALSE,
high,18,Motivational Techniques - Ken interviews Catherine - 1,https://www.youtube.com/watch?v=PM1q6uB0ysQ,reducing gambling,17,client,0:02:47,"Uh, I suppose when you've got no money in the pocket at the end of the night.",2,,,,,,,,change,,
high,18,Motivational Techniques - Ken interviews Catherine - 1,https://www.youtube.com/watch?v=PM1q6uB0ysQ,reducing gambling,18,therapist,0:02:50,"Yeah, yeah.",2,FALSE,,FALSE,,FALSE,,other,,FALSE,
high,18,Motivational Techniques - Ken interviews Catherine - 1,https://www.youtube.com/watch?v=PM1q6uB0ysQ,reducing gambling,19,client,0:02:51,"And some nights you do, so.",2,,,,,,,,change,,
high,18,Motivational Techniques - Ken interviews Catherine - 1,https://www.youtube.com/watch?v=PM1q6uB0ysQ,reducing gambling,20,therapist,0:02:53,Yeah. So how often do you end up with no money in your pocket? Can be the times when you end up with money in your pocket,2,FALSE,,FALSE,,TRUE,open,question,,FALSE,
