Unnamed: 0,mi_quality,transcript_id,video_title,video_url,topic,utterance_id,interlocutor,timestamp,utterance_text,annotator_id,therapist_input_exists,therapist_input_subtype,reflection_exists,reflection_subtype,question_exists,question_subtype,main_therapist_behaviour,client_talk_type
2623,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,52,therapist,00:05:08,Okay. What things would make it easier for you to not drink?,8,False,,False,,True,open,question,
2624,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,53,client,00:05:12,"Um, I could probably drink something else when my friends are drinking, like just coke.",8,,,,,,,,change
2625,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,54,therapist,00:05:20,Anything else to make things easier for you?,8,False,,False,,True,closed,question,
2626,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,55,client,00:05:24,I can probably hang out with some of my friends who don't drink or inviting them to parties and having fun 'cause not everyone drinks at parties.,8,,,,,,,,change
2627,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,56,therapist,00:05:34,"Okay. Is there anybody in your life that you can talk to about this, who give you some support for not drinking?",8,False,,False,,True,closed,question,
2628,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,57,client,00:05:41,"Yeah. The-- My friends who don't drink would probably be happy that I'm not drinking either and yes, they'd support me.",8,,,,,,,,change
2629,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,58,therapist,00:05:50,"Great. So you've come up with some reasons to stop drinking, like having hangovers and throwing up and getting into trouble. And you've developed some strategies to-to try to not drink, like spending more time with friends who don't drink or having non-alcoholic drinks when people around you are drinking alcohol. I think that's a great plan. I'm really proud of you for giving this a try. How about if I have you make an appointment for two months from now and then I'll see you back and we can see how things are going?",8,False,,True,simple,True,closed,reflection,
2630,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,59,client,00:06:19,Okay.,8,,,,,,,,neutral
3683,high,65,Motivational Interviewing for Health Issues Video,https://www.youtube.com/watch?v=wCbYXsQd9u8,smoking cessation,0,client,00:00:06,"Many people have told me, um, if I quit smoking, I'm going to gain weight.",9,,,,,,,,neutral
3684,high,65,Motivational Interviewing for Health Issues Video,https://www.youtube.com/watch?v=wCbYXsQd9u8,smoking cessation,1,therapist,00:00:11,Mm.,9,False,,False,,False,,other,
3685,high,65,Motivational Interviewing for Health Issues Video,https://www.youtube.com/watch?v=wCbYXsQd9u8,smoking cessation,2,client,00:00:11,"Well, food really doesn't taste good, but they say it tastes much better-",9,,,,,,,,neutral
3686,high,65,Motivational Interviewing for Health Issues Video,https://www.youtube.com/watch?v=wCbYXsQd9u8,smoking cessation,3,therapist,00:00:16,Mm-hmm.,9,False,,False,,False,,other,
3687,high,65,Motivational Interviewing for Health Issues Video,https://www.youtube.com/watch?v=wCbYXsQd9u8,smoking cessation,4,client,00:00:17,-if you quit smoking.,9,,,,,,,,neutral
3688,high,65,Motivational Interviewing for Health Issues Video,https://www.youtube.com/watch?v=wCbYXsQd9u8,smoking cessation,5,therapist,00:00:18,Mm-hmm.,9,False,,False,,False,,other,
3689,high,65,Motivational Interviewing for Health Issues Video,https://www.youtube.com/watch?v=wCbYXsQd9u8,smoking cessation,6,client,00:00:19,Now the downside to that is I'm gonna gain weight.,9,,,,,,,,sustain
3690,high,65,Motivational Interviewing for Health Issues Video,https://www.youtube.com/watch?v=wCbYXsQd9u8,smoking cessation,7,therapist,00:00:23,Mm-hmm.,9,False,,False,,False,,other,
3691,high,65,Motivational Interviewing for Health Issues Video,https://www.youtube.com/watch?v=wCbYXsQd9u8,smoking cessation,8,client,00:00:24,"That means a new wardrobe, which I'd like to have, but I can't afford it.",9,,,,,,,,sustain
3692,high,65,Motivational Interviewing for Health Issues Video,https://www.youtube.com/watch?v=wCbYXsQd9u8,smoking cessation,9,therapist,00:00:28,Okay. So right now you're seeing that it's a part of your life. It's been a part of your life off and on for 18 years.,9,False,,True,complex,False,,reflection,
3693,high,65,Motivational Interviewing for Health Issues Video,https://www.youtube.com/watch?v=wCbYXsQd9u8,smoking cessation,10,client,00:00:42,Mm-hmm.,9,,,,,,,,neutral
3694,high,65,Motivational Interviewing for Health Issues Video,https://www.youtube.com/watch?v=wCbYXsQd9u8,smoking cessation,11,therapist,00:00:42,It's become a more important part of your life because you found yourself smoking at times that you thought I'll never smoke then.,9,False,,True,complex,False,,reflection,
3695,high,65,Motivational Interviewing for Health Issues Video,https://www.youtube.com/watch?v=wCbYXsQd9u8,smoking cessation,12,client,00:00:49,Right.,9,,,,,,,,neutral
3696,high,65,Motivational Interviewing for Health Issues Video,https://www.youtube.com/watch?v=wCbYXsQd9u8,smoking cessation,13,therapist,00:00:49,"Yeah. And your worry is that if you stop, you will end up gaining weight. So I'm hearing this kind of list of things that don't feel so positive about stopping.",9,False,,True,complex,False,,reflection,
3697,high,65,Motivational Interviewing for Health Issues Video,https://www.youtube.com/watch?v=wCbYXsQd9u8,smoking cessation,14,client,00:01:00,Mm-hmm.,9,,,,,,,,neutral
3698,high,65,Motivational Interviewing for Health Issues Video,https://www.youtube.com/watch?v=wCbYXsQd9u8,smoking cessation,15,therapist,00:01:02,I'm wondering what else might be on that list.,9,False,,False,,True,open,question,
3699,high,65,Motivational Interviewing for Health Issues Video,https://www.youtube.com/watch?v=wCbYXsQd9u8,smoking cessation,16,client,00:01:24,"Um, withdrawal.",9,,,,,,,,sustain
3700,high,65,Motivational Interviewing for Health Issues Video,https://www.youtube.com/watch?v=wCbYXsQd9u8,smoking cessation,17,therapist,00:01:26,Mm.,9,False,,False,,False,,other,
3701,high,65,Motivational Interviewing for Health Issues Video,https://www.youtube.com/watch?v=wCbYXsQd9u8,smoking cessation,18,client,00:01:26,"They say it's awful. Um, being cranky.",9,,,,,,,,sustain
3702,high,65,Motivational Interviewing for Health Issues Video,https://www.youtube.com/watch?v=wCbYXsQd9u8,smoking cessation,19,therapist,00:01:31,Mm-hmm.,9,False,,False,,False,,other,
3703,high,65,Motivational Interviewing for Health Issues Video,https://www.youtube.com/watch?v=wCbYXsQd9u8,smoking cessation,20,client,00:01:32,"And if I do go through this, I just hope my friends understand and will support me in what I'm trying to do.",9,,,,,,,,neutral
3704,high,65,Motivational Interviewing for Health Issues Video,https://www.youtube.com/watch?v=wCbYXsQd9u8,smoking cessation,21,therapist,00:01:39,Mm-hmm. Okay. Yeah. So added to the other list is the having to go through the withdrawal-,9,False,,True,simple,False,,reflection,
3705,high,65,Motivational Interviewing for Health Issues Video,https://www.youtube.com/watch?v=wCbYXsQd9u8,smoking cessation,22,client,00:01:45,Mm-hmm.,9,,,,,,,,neutral
3706,high,65,Motivational Interviewing for Health Issues Video,https://www.youtube.com/watch?v=wCbYXsQd9u8,smoking cessation,23,therapist,00:01:46,"-the unpleasantness of that. Okay. What else might be on the, not so good side about smoking- about stopping?",9,False,,True,simple,True,open,question,
3707,high,65,Motivational Interviewing for Health Issues Video,https://www.youtube.com/watch?v=wCbYXsQd9u8,smoking cessation,24,client,00:01:52,"Um, I think everything's on the bad side about smoking, but, um, I've just smoked so long. I-I just can't imagine-",9,,,,,,,,sustain
3708,high,65,Motivational Interviewing for Health Issues Video,https://www.youtube.com/watch?v=wCbYXsQd9u8,smoking cessation,25,therapist,00:01:58,Mm-hmm.,9,False,,False,,False,,other,
3709,high,65,Motivational Interviewing for Health Issues Video,https://www.youtube.com/watch?v=wCbYXsQd9u8,smoking cessation,26,client,00:01:59,-not- going through life without smoking.,9,,,,,,,,sustain
3710,high,65,Motivational Interviewing for Health Issues Video,https://www.youtube.com/watch?v=wCbYXsQd9u8,smoking cessation,27,therapist,00:02:01,Mm-hmm.,9,False,,False,,False,,other,
3711,high,65,Motivational Interviewing for Health Issues Video,https://www.youtube.com/watch?v=wCbYXsQd9u8,smoking cessation,28,client,00:02:01,"I know I've got to stop. Uh, I'm having no health problems from cigarettes-",9,,,,,,,,change
3712,high,65,Motivational Interviewing for Health Issues Video,https://www.youtube.com/watch?v=wCbYXsQd9u8,smoking cessation,29,therapist,00:02:06,Mm-hmm.,9,False,,False,,False,,other,
3713,high,65,Motivational Interviewing for Health Issues Video,https://www.youtube.com/watch?v=wCbYXsQd9u8,smoking cessation,30,client,00:02:06,"-at present, but when the doctor told me this morning what could be waiting for me in the future-",9,,,,,,,,change
3714,high,65,Motivational Interviewing for Health Issues Video,https://www.youtube.com/watch?v=wCbYXsQd9u8,smoking cessation,31,therapist,00:02:12,Mm-hmm.,9,False,,False,,False,,other,
3715,high,65,Motivational Interviewing for Health Issues Video,https://www.youtube.com/watch?v=wCbYXsQd9u8,smoking cessation,32,client,00:02:12,-that made me rethink-,9,,,,,,,,neutral
3716,high,65,Motivational Interviewing for Health Issues Video,https://www.youtube.com/watch?v=wCbYXsQd9u8,smoking cessation,33,therapist,00:02:14,Mm.,9,False,,False,,False,,other,
3717,high,65,Motivational Interviewing for Health Issues Video,https://www.youtube.com/watch?v=wCbYXsQd9u8,smoking cessation,34,client,00:02:14,-everything.,9,,,,,,,,neutral
4150,high,73,Motivational Interviewing for Adolescent Substance Use - 2,https://www.youtube.com/watch?v=K-zJme3RTzM,reducing drug use,0,client,00:02:15,"He, um, introduced me to it too, so I've tried it.",0,,,,,,,,neutral
4151,high,73,Motivational Interviewing for Adolescent Substance Use - 2,https://www.youtube.com/watch?v=K-zJme3RTzM,reducing drug use,1,therapist,00:02:21,"So with his encouragement, you-you tried some drugs.",0,False,,True,simple,False,,reflection,
4152,high,73,Motivational Interviewing for Adolescent Substance Use - 2,https://www.youtube.com/watch?v=K-zJme3RTzM,reducing drug use,2,client,00:02:25,Oxy.,0,,,,,,,,neutral
4153,high,73,Motivational Interviewing for Adolescent Substance Use - 2,https://www.youtube.com/watch?v=K-zJme3RTzM,reducing drug use,3,therapist,00:02:25,You tried oxy? Okay.,0,False,,True,simple,False,,reflection,
4154,high,73,Motivational Interviewing for Adolescent Substance Use - 2,https://www.youtube.com/watch?v=K-zJme3RTzM,reducing drug use,4,client,00:02:27,Yeah.,0,,,,,,,,neutral
4155,high,73,Motivational Interviewing for Adolescent Substance Use - 2,https://www.youtube.com/watch?v=K-zJme3RTzM,reducing drug use,5,therapist,00:02:27,Okay. And he encouraged you to do that.,0,False,,True,simple,False,,reflection,
4156,high,73,Motivational Interviewing for Adolescent Substance Use - 2,https://www.youtube.com/watch?v=K-zJme3RTzM,reducing drug use,6,client,00:02:30,"Well, yeah he said it was a pain- a pain medicine.",0,,,,,,,,neutral
4157,high,73,Motivational Interviewing for Adolescent Substance Use - 2,https://www.youtube.com/watch?v=K-zJme3RTzM,reducing drug use,7,therapist,00:02:33,He said that it would help you with some of the pain that you've been having.,0,False,,True,simple,False,,reflection,
4158,high,73,Motivational Interviewing for Adolescent Substance Use - 2,https://www.youtube.com/watch?v=K-zJme3RTzM,reducing drug use,8,client,00:02:36,Mm-hmm.,0,,,,,,,,neutral
4159,high,73,Motivational Interviewing for Adolescent Substance Use - 2,https://www.youtube.com/watch?v=K-zJme3RTzM,reducing drug use,9,therapist,00:02:36,Yeah.,0,False,,False,,False,,other,
4160,high,73,Motivational Interviewing for Adolescent Substance Use - 2,https://www.youtube.com/watch?v=K-zJme3RTzM,reducing drug use,10,client,00:02:37,"And it has, but I don't do it as often, it's just sometimes.",0,,,,,,,,neutral
4161,high,73,Motivational Interviewing for Adolescent Substance Use - 2,https://www.youtube.com/watch?v=K-zJme3RTzM,reducing drug use,11,therapist,00:02:42,"Okay. So you trusted him on that, and you tried it out and you found that it helped you in certain ways. What are some of the things that you said it's-- takes some of the pain away, it's not just-- you know.",0,False,,True,complex,True,open,reflection,
4162,high,73,Motivational Interviewing for Adolescent Substance Use - 2,https://www.youtube.com/watch?v=K-zJme3RTzM,reducing drug use,12,client,00:02:53,Dealing with my grandma's loss.,0,,,,,,,,sustain
4163,high,73,Motivational Interviewing for Adolescent Substance Use - 2,https://www.youtube.com/watch?v=K-zJme3RTzM,reducing drug use,13,therapist,00:02:54,"Okay, so that's helped you.",0,False,,True,simple,False,,reflection,
4164,high,73,Motivational Interviewing for Adolescent Substance Use - 2,https://www.youtube.com/watch?v=K-zJme3RTzM,reducing drug use,14,client,00:02:55,"Yeah. I feel alone, and I just, I miss her and, it does- it does help but,-",0,,,,,,,,sustain
4165,high,73,Motivational Interviewing for Adolescent Substance Use - 2,https://www.youtube.com/watch?v=K-zJme3RTzM,reducing drug use,15,therapist,00:03:04,Mm-hmm. So it help—,0,False,,True,simple,False,,reflection,
4166,high,73,Motivational Interviewing for Adolescent Substance Use - 2,https://www.youtube.com/watch?v=K-zJme3RTzM,reducing drug use,16,client,00:03:06,-I don't wanna have to rely on having to take that.,0,,,,,,,,change
4167,high,73,Motivational Interviewing for Adolescent Substance Use - 2,https://www.youtube.com/watch?v=K-zJme3RTzM,reducing drug use,17,therapist,00:03:09,"Okay. So it's not something you wanna rely on, you don't see yourself continuing to use this. It's something that you'v found at least for the moment very helpful?",0,False,,True,complex,False,,reflection,
4168,high,73,Motivational Interviewing for Adolescent Substance Use - 2,https://www.youtube.com/watch?v=K-zJme3RTzM,reducing drug use,18,client,00:03:18,"Mm-hmm. Yeah, and—",0,,,,,,,,neutral
4169,high,73,Motivational Interviewing for Adolescent Substance Use - 2,https://www.youtube.com/watch?v=K-zJme3RTzM,reducing drug use,19,therapist,00:03:19,"But it's not something that you wanna make a habit of becoming reliant on, or dependent?",0,False,,True,complex,False,,reflection,
4170,high,73,Motivational Interviewing for Adolescent Substance Use - 2,https://www.youtube.com/watch?v=K-zJme3RTzM,reducing drug use,20,client,00:03:24,Right.,0,,,,,,,,change
4171,high,73,Motivational Interviewing for Adolescent Substance Use - 2,https://www.youtube.com/watch?v=K-zJme3RTzM,reducing drug use,21,therapist,00:03:25,"Yeah, okay. Um, and-and so that's a lot going on right now for you? Yeah.",0,False,,True,complex,False,,reflection,
4172,high,73,Motivational Interviewing for Adolescent Substance Use - 2,https://www.youtube.com/watch?v=K-zJme3RTzM,reducing drug use,22,client,00:03:33,"Yeah, it is.",0,,,,,,,,neutral
